episode_reward,episode_duration,total_loss,actor_loss,critic_loss,entropy,entropy_coef,mean_advantage,training_duration
295.43525870961633,0.19224776094779372,40.89988708496094,9.497711181640625,31.469160079956055,0.6766155362129211,0.099,3.433227391269611e-08,0.14873488387092948
285.75067593382397,0.18516577314585447,35.27260208129883,5.129786491394043,30.209768295288086,0.6830970048904419,0.09801,3.1018257118375914e-07,0.15301286010071635
302.70592912917346,0.17950599594041705,38.173744201660156,3.6307196617126465,34.609596252441406,0.6860913038253784,0.0970299,7.772445798082117e-08,0.1365650261286646
286.4664103705802,0.19124233699403703,33.71979522705078,3.462677001953125,30.32323455810547,0.6882915496826172,0.096059601,-6.675720420901143e-09,0.13891066401265562
325.6886532122725,0.17913293815217912,37.04045867919922,-0.5771481990814209,37.683265686035156,0.6904433965682983,0.09509900499,-1.1348724626714102e-07,0.1363584720529616
306.541232921759,0.18023071298375726,31.11288070678711,-2.0548834800720215,33.2327880859375,0.6906442642211914,0.0941480149401,1.020431525944332e-07,0.13690075208432972
305.6513220713432,0.17797461990267038,29.970094680786133,-3.4940953254699707,33.528560638427734,0.6906387805938721,0.093206534790699,-2.9206276508375595e-07,0.1361386759672314
301.9677548956485,0.1771614388562739,32.59791564941406,0.5286935567855835,32.13290023803711,0.6901099681854248,0.09227446944279201,8.106232129989621e-09,0.1370579011272639
294.916493160969,0.1796513581648469,27.37699317932129,-3.139718770980835,30.579551696777344,0.6878886222839355,0.09135172474836409,4.496574490531202e-07,0.13638085289858282
318.95283613339024,0.1791605029720813,32.83751678466797,-2.7890899181365967,35.688697814941406,0.6865870356559753,0.09043820750088044,3.714561387369031e-07,0.13778971694409847
297.25136698107553,0.18105355487205088,28.189891815185547,-2.9078242778778076,31.15909767150879,0.6855729222297668,0.08953382542587164,8.893012903854469e-08,0.13729489501565695
293.70572498563536,0.17996241804212332,29.454511642456055,-0.08586382865905762,29.601083755493164,0.6849143505096436,0.08863848717161292,-5.421638320513011e-07,0.13752062409184873
289.86466938031833,0.2159340779762715,25.709348678588867,-4.192720413208008,29.961894989013672,0.681755781173706,0.08775210229989679,-6.842613231583528e-08,0.13573992205783725
290.57648990666155,0.17748569510877132,19.390419006347656,-8.97080135345459,28.420291900634766,0.6799582839012146,0.08687458127689782,-2.8753279934790044e-07,0.13524313713423908
308.60619807443607,0.17720360588282347,28.215707778930664,-4.306939125061035,32.58108139038086,0.6794446706771851,0.08600583546412884,-4.9114227351765294e-08,0.13714068313129246
324.167496149403,0.17892789910547435,37.41118621826172,2.025573492050171,35.44342041015625,0.678949773311615,0.08514577710948755,-1.1444091541079615e-07,0.13488751999102533
326.2801821952918,0.17602444789372385,27.578289031982422,-8.464800834655762,36.10012435913086,0.6765960454940796,0.08429431933839267,-2.1457672971791908e-08,0.13713823189027607
299.08284914338526,0.17628098814748228,24.453994750976562,-5.343868255615234,29.85417938232422,0.6748307943344116,0.08345137614500873,-7.96318033735588e-08,0.1398329809308052
350.59812180556645,0.17959878779947758,30.548919677734375,-9.953895568847656,40.55826187133789,0.6711195707321167,0.08261686238355864,1.2516974834397843e-07,0.13595702010206878
311.411780765749,0.17775917705148458,24.51895523071289,-7.031095027923584,31.604639053344727,0.6674165725708008,0.08179069375972306,-1.995563536638656e-07,0.13792671100236475
322.657052618342,0.1790876821614802,25.862180709838867,-7.319113731384277,33.235286712646484,0.6667913794517517,0.08097278682212583,-2.0980834847250662e-08,0.1369894810486585
316.2419713397811,0.17822631006129086,19.271142959594727,-12.352287292480469,31.67668342590332,0.6643059849739075,0.08016305895390458,2.279281545725098e-07,0.1364285759627819
324.1988622628052,0.17704188521020114,27.71316909790039,-5.042760372161865,32.808353424072266,0.6605698466300964,0.07936142836436554,5.4836274188119205e-08,0.13475318299606442
319.9294941158368,0.17778126616030931,21.623262405395508,-10.176627159118652,31.85173797607422,0.6599010229110718,0.07856781408072187,1.225471493171426e-07,0.13855404104106128
323.19846116086006,0.17852719500660896,24.786706924438477,-7.200493812561035,32.03834915161133,0.657609760761261,0.07778213593991465,2.954006106392626e-07,0.13850832101888955
308.2296930859429,0.1778809621464461,19.148834228515625,-9.503029823303223,28.702627182006836,0.6592049598693848,0.0770043145805155,8.392333938900265e-08,0.136201832909137
308.4008772526306,0.17797577404417098,25.38086700439453,-3.2263965606689453,28.657363891601562,0.6571873426437378,0.07623427143471034,4.0531160649948106e-09,0.1378019719850272
343.25687089143577,0.17781008896417916,15.792265892028809,-20.25362205505371,36.095130920410156,0.6524638533592224,0.07547192872036323,-6.60419487985564e-08,0.13730717403814197
324.91090827407464,0.17869209800846875,23.633617401123047,-8.320537567138672,32.00291061401367,0.6525422930717468,0.0747172094331596,-1.7881394143159923e-08,0.1360197509638965
351.3845492418134,0.1781581868417561,29.99736976623535,-6.961825370788574,37.00703811645508,0.646784245967865,0.073970037338828,-1.1444091896350983e-08,0.14114368590526283
329.86863839134065,0.1764019839465618,23.292085647583008,-8.911603927612305,32.25086975097656,0.6442685723304749,0.07323033696543972,6.842613231583528e-08,0.136224313871935
352.2617599766053,0.17680568504147232,23.96919822692871,-12.089373588562012,36.10542678833008,0.64627605676651,0.07249803359578533,1.0633468860987705e-07,0.1799842061009258
317.0077631459559,0.17472861497662961,20.309389114379883,-9.023737907409668,29.37898063659668,0.6388912796974182,0.07177305325982747,-1.5163421096531238e-07,0.13675220985896885
288.75426049200206,0.17990312702022493,21.997291564941406,-0.01568901538848877,22.058256149291992,0.637168288230896,0.0710553227272292,2.6726723945103004e-07,0.13576194690540433
