episode_reward,episode_duration,total_loss,actor_loss,critic_loss,entropy,entropy_coef,entropy_bonus,mean_advantage,training_duration
2997.221088973636,1.8091094729024917,224.52044677734375,-4.314295768737793,228.83474731445312,0.6677499413490295,0.14895,0.09946135431528091,2.2029876589613195e-08,1.7342896750196815
2833.3343607404995,1.7443680288270116,244.0304718017578,32.48112869262695,211.54934692382812,0.655708372592926,0.14790735,0.09698408842086792,1.4915465840203979e-07,1.7212136799935251
3000.5925691830976,1.7277901689521968,223.23646545410156,-11.080286979675293,234.31675720214844,0.6393586993217468,0.14687199855,0.09390389174222946,-1.543045016205724e-07,1.7028759131208062
3212.2795647646485,1.676402045879513,192.30999755859375,-69.02617645263672,261.336181640625,0.6228326559066772,0.14584389456014998,0.09083633869886398,-4.179000825388357e-07,1.7111349189653993
3133.093403230026,1.7224439750425518,135.16531372070312,-104.10633850097656,239.2716522216797,0.5923843383789062,0.14482298729822893,0.08579086512327194,3.3378602104505717e-09,1.6878571510314941
3307.3001500653477,1.6966369289439172,153.56298828125,-101.6399154663086,255.20289611816406,0.5730222463607788,0.14380922638714133,0.08240588754415512,7.524490541754858e-08,1.6933408859185874
3160.351580306717,1.7104535619728267,147.40695190429688,-78.6133041381836,226.02024841308594,0.5567682981491089,0.14280256180243134,0.07950793951749802,5.302429073594794e-08,1.7024154879618436
3402.5886850208817,1.715121960034594,117.59642028808594,-136.33982849121094,253.93624877929688,0.547878623008728,0.14180294386981432,0.07769079506397247,-7.476806729300733e-08,1.694807254942134
3271.5716983790226,1.6740724029950798,76.3548583984375,-148.74977111816406,225.10462951660156,0.5425875782966614,0.1408103232627256,0.07640193402767181,7.967948789655566e-08,1.6927277641370893
3400.739629824295,1.7235784560907632,88.7017822265625,-149.99986267089844,238.70164489746094,0.5308294892311096,0.13982465099988653,0.07422304153442383,-3.6668777170234534e-07,1.6987034978810698
3369.9529483481656,1.6598332689609379,63.6292724609375,-168.45797729492188,232.08724975585938,0.521049976348877,0.13884587844288732,0.07234563678503036,-4.364013648228138e-07,1.6505960819777101
3342.3998398589597,1.6647521848790348,24.342819213867188,-202.4504852294922,226.79330444335938,0.5137033462524414,0.1378739572937871,0.07082631438970566,-4.6501159545186965e-07,1.6402188839856535
3401.9245759912283,1.682647149078548,-14.696273803710938,-253.15538024902344,238.4591064453125,0.5087016820907593,0.1369088395927306,0.06964576244354248,-2.3651123726153855e-08,1.641088929027319
3385.623237742861,1.6340593281202018,-80.7252197265625,-319.06939697265625,238.34417724609375,0.4986582100391388,0.13595047771558147,0.06779281795024872,-3.166198609960702e-07,1.657423464115709
3374.4037967745694,1.6638746610842645,-90.66517639160156,-330.4880065917969,239.8228302001953,0.4776618182659149,0.1349988243715724,0.06448378413915634,-1.698970777397335e-07,1.6719151430297643
3497.615534032121,1.6252344360109419,-178.6044921875,-441.36572265625,262.76123046875,0.4701879024505615,0.1340538326009714,0.06303048878908157,-1.9187926625363616e-07,1.6515707590151578
3563.0655587292204,1.6661326710600406,-154.58013916015625,-433.2051086425781,278.6249694824219,0.452179878950119,0.1331154557727646,0.060192130506038666,-3.562927304301411e-07,1.6587150250561535
3531.723458166986,1.669657131889835,-178.8568115234375,-451.2395324707031,272.3827209472656,0.4425767660140991,0.13218364758235523,0.058501407504081726,9.231567332790291e-08,1.7266385739203542
3539.853829976354,1.6348981920164078,-211.05398559570312,-485.7545471191406,274.7005615234375,0.43970122933387756,0.13125836204927874,0.057714466005563736,1.770019508740006e-07,1.6501733891200274
3493.991231330804,1.6648280499503016,-197.37094116210938,-464.6548767089844,267.283935546875,0.433000385761261,0.1303395535149338,0.05643707513809204,3.2501219493497047e-07,1.6461600977927446
3554.6054383924766,1.6107176910154521,-212.72763061523438,-492.11737060546875,279.3897399902344,0.4209810197353363,0.12942717664032924,0.054486386477947235,-6.942749308791463e-08,1.6474553099833429
3607.857843211063,1.6604235009290278,-235.72622680664062,-526.7496337890625,291.0234069824219,0.4017997980117798,0.12852118640384694,0.05163978785276413,-1.785278271881907e-07,1.6459378530271351
3720.0266446923574,1.6771693520713598,-326.4170837402344,-637.6583862304688,311.2413024902344,0.38187935948371887,0.12762153809902002,0.048736028373241425,-7.629394893626795e-09,1.642632514005527
3812.923606578729,1.623367573833093,-240.01177978515625,-570.0374755859375,330.02569580078125,0.36513182520866394,0.12672818733232688,0.04627249762415886,5.378723244575667e-08,1.6486150228884071
3690.6140724537368,1.6656224138569087,-365.3441467285156,-672.7291259765625,307.3849792480469,0.3618481457233429,0.12584109002100058,0.0455353669822216,1.907348590179936e-08,1.6558579970151186
3949.759274624889,1.6181122979614884,-316.21307373046875,-669.3495483398438,353.136474609375,0.35974952578544617,0.12496020239085358,0.04495437070727348,-5.111694179049664e-08,1.6499734360259026
3751.145993910139,1.6664600421208888,-304.3241882324219,-627.3959350585938,323.0717468261719,0.3405539393424988,0.1240854809741176,0.042257796972990036,-3.1967164204615983e-07,1.6412704649847
3995.9665056868325,1.6662838358897716,-310.0423278808594,-677.7728881835938,367.7305603027344,0.34895753860473633,0.12321688260729878,0.042997460812330246,9.269714240645044e-08,1.6496984800323844
3957.90401316771,1.6136059309355915,-275.7747802734375,-636.759033203125,360.9842529296875,0.3432694375514984,0.1223543644290477,0.04200051352381706,1.6555786430672015e-07,1.6450450539123267
3957.6637072062827,1.670943517005071,-302.21826171875,-656.0132446289062,353.79498291015625,0.3640648424625397,0.12149788387804436,0.044233109802007675,-1.5563965405362978e-07,1.6545372440014035
